,Doc. No.,G/L Account No,G/L Account Desc,Vendor No,Vendor Name,Vendor.acc.grp,Vendor.grp.description,Inv. Amount.,Doc. Date,Posting. Date,Baseline Date,Age,Outstanding Amount.,CumSum,True Outstanding
11,1003304168,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-46,127.97",27-Oct-23,07-02-2024,27-10-2023,156,-46128,-793885.33,-46128
12,1003304169,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-28,977.26",27-Oct-23,07-02-2024,27-10-2023,156,-28977,-822862.33,-28977
13,1003302432,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-28,350.00",31-Oct-23,18-11-2023,31-10-2023,152,-28350,-851212.33,-28350
14,1003302444,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-2,05,401.00",31-Oct-23,18-11-2023,31-10-2023,152,-205401,-1056613.33,-205401
15,1003302483,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-79,427.45",31-Oct-23,22-11-2023,31-10-2023,152,-79427,-1136040.33,-79427
16,1003302488,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-5,460.00",31-Oct-23,22-11-2023,31-10-2023,152,-5460,-1141500.33,-5460
17,1003302492,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-79,729.65",31-Oct-23,22-11-2023,31-10-2023,152,-79730,-1221230.33,-79730
18,1003302801,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-48,888.00",31-Oct-23,25-11-2023,31-10-2023,152,-48888,-1270118.33,-48888
19,1003302583,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-41,218.80",03-Nov-23,23-11-2023,03-11-2023,149,-41219,-1311337.33,-41219
20,1003302596,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-42,468.20",06-Nov-23,23-11-2023,06-11-2023,146,-42468,-1353805.33,-42468
21,1003302597,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-77,587.65",06-Nov-23,23-11-2023,06-11-2023,146,-77588,-1431393.33,-77588
22,1003302607,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-1,646.34",06-Nov-23,23-11-2023,06-11-2023,146,-1646,-1433039.33,-1646
23,1003302608,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-7,080.00",07-Nov-23,23-11-2023,07-11-2023,145,-7080,-1440119.33,-7080
24,1003302628,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-1,05,502.62",08-Nov-23,23-11-2023,08-11-2023,144,-105503,-1545622.33,-105503
25,1003302468,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-5,286.40",09-Nov-23,18-11-2023,09-11-2023,143,-5286,-1550908.33,-5286
26,1003302452,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-11,535.30",10-Nov-23,18-11-2023,10-11-2023,142,-11535,-1562443.33,-11535
27,1003302806,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-1,04,047.65",21-Nov-23,25-11-2023,21-11-2023,131,-104048,-1666491.33,-104048
28,1003302873,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-40,745.25",24-Nov-23,28-11-2023,24-11-2023,128,-40745,-1707236.33,-40745
29,1003302881,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-23,940.00",25-Nov-23,28-11-2023,25-11-2023,127,-23940,-1731176.33,-23940
30,1003302963,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-2,53,464.00",29-Nov-23,01-12-2023,29-11-2023,123,-253464,-1984640.33,-253464
31,1003303558,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-29,204.00",30-Nov-23,08-01-2024,30-11-2023,122,-29204,-2013844.33,-29204
32,1003303078,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-1,26,732.00",09-Dec-23,09-12-2023,09-12-2023,113,-126732,-2140576.33,-126732
33,1003303258,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-13,839.00",11-Dec-23,14-12-2023,11-12-2023,111,-13839,-2154415.33,-13839
34,1003303283,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-7,980.00",19-Dec-23,19-12-2023,19-12-2023,103,-7980,-2162395.33,-7980
35,1003303292,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-49,280.00",19-Dec-23,19-12-2023,19-12-2023,103,-49280,-2211675.33,-49280
36,1003303291,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-5,768.00",20-Dec-23,20-12-2023,20-12-2023,102,-5768,-2217443.33,-5768
37,1003303438,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-5,65,189.04",28-Dec-23,29-12-2023,28-12-2023,94,-565189,-2782632.33,-565189
38,1003303439,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-7,210.00",28-Dec-23,29-12-2023,28-12-2023,94,-7210,-2789842.33,-7210
39,1003303739,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-84,488.00",02-Jan-24,03-01-2024,02-01-2024,89,-84488,-2874330.33,-84488
40,1003303747,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-11,626.65",05-Jan-24,06-01-2024,05-01-2024,86,-11627,-2885957.33,-11627
41,1003303527,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-87,765.30",09-Jan-24,12-01-2024,09-01-2024,82,-87765,-2973722.33,-87765
42,1003303780,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-38,888.85",09-Jan-24,12-01-2024,09-01-2024,82,-38889,-3012611.33,-38889
43,1003303801,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-62,414.10",16-Jan-24,16-01-2024,16-01-2024,75,-62414,-3075025.33,-62414
44,1003303891,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-1,12,539.00",17-Jan-24,19-01-2024,17-01-2024,74,-112539,-3187564.33,-112539
45,1003303974,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-1,48,680.00",24-Jan-24,25-01-2024,24-01-2024,67,-148680,-3336244.33,-148680
46,1003304162,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-2,53,464.00",31-Jan-24,01-02-2024,31-01-2024,60,-253464,-3589708.33,-253464
47,1003304754,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-1,68,976.00",01-Mar-24,01-03-2024,01-03-2024,30,-168976,-3758684.33,-168976
48,1003304737,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-27,166.65",12-Mar-24,12-03-2024,12-03-2024,19,-27167,-3785851.33,-27167
49,1003304949,108001,Material Vendor,15100290,BIOMERIEUX INDIA PRIVATE LIMITED,V151,MATERIAL VENDOR,"-1,82,310.00",19-Mar-24,19-03-2024,19-03-2024,12,-182310,-3968161.33,-182310
0,1004203172,108001,Material Vendor,15100291,DSS IMAGETECH PVT LTD,V151,MATERIAL VENDOR,"-6,160.00",28-Mar-22,31-03-2022,28-03-2022,734,-6160,-6160,-6160
0,1003303396,108001,Material Vendor,15100295,HIMEDIA LABORATORIES PVT.LTD,V151,MATERIAL VENDOR,"-96,768.00",22-Dec-23,30-12-2023,22-12-2023,100,-96768,-96768,-96768
1,1003303432,108001,Material Vendor,15100295,HIMEDIA LABORATORIES PVT.LTD,V151,MATERIAL VENDOR,"-78,400.00",22-Dec-23,30-12-2023,22-12-2023,100,-78400,-175168,-78400
2,1003303667,108001,Material Vendor,15100295,HIMEDIA LABORATORIES PVT.LTD,V151,MATERIAL VENDOR,"-96,768.00",29-Dec-23,06-01-2024,29-12-2023,93,-96768,-271936,-96768
3,1003303539,108001,Material Vendor,15100295,HIMEDIA LABORATORIES PVT.LTD,V151,MATERIAL VENDOR,"-79,520.00",02-Jan-24,02-01-2024,02-01-2024,89,-79520,-351456,-79520
4,1003303790,108001,Material Vendor,15100295,HIMEDIA LABORATORIES PVT.LTD,V151,MATERIAL VENDOR,"-1,59,040.00",15-Jan-24,15-01-2024,15-01-2024,76,-159040,-510496,-159040
5,1003304039,108001,Material Vendor,15100295,HIMEDIA LABORATORIES PVT.LTD,V151,MATERIAL VENDOR,"-9,676.00",27-Jan-24,01-02-2024,27-01-2024,64,-9676,-520172,-9676
6,1003304210,108001,Material Vendor,15100295,HIMEDIA LABORATORIES PVT.LTD,V151,MATERIAL VENDOR,"-32,256.00",05-Feb-24,05-02-2024,05-02-2024,55,-32256,-552428,-32256
7,1003304767,108001,Material Vendor,15100295,HIMEDIA LABORATORIES PVT.LTD,V151,MATERIAL VENDOR,"-39,760.00",04-Mar-24,04-03-2024,04-03-2024,27,-39760,-592188,-39760
8,1003305160,108001,Material Vendor,15100295,HIMEDIA LABORATORIES PVT.LTD,V151,MATERIAL VENDOR,"-1,59,040.00",29-Mar-24,29-03-2024,29-03-2024,2,-159040,-751228,-159040
0,1004201146,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"-24,521.00",25-Mar-21,31-07-2023,25-03-2021,"1,102",-24521,-24521,0
1,1004201147,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"-1,41,520.00",31-Mar-22,31-07-2023,31-03-2022,731,-141520,-166041,-166041
2,1004201148,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"-58,000.00",31-Mar-22,31-07-2023,31-03-2022,731,-58000,-224041,-58000
3,1001600441,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"-2,64,480.00",02-Apr-22,02-04-2022,02-04-2022,729,-264480,-488521,-264480
4,1004201142,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"-2,37,220.00",03-Apr-22,31-07-2023,03-04-2022,728,-237220,-725741,-237220
5,1001700372,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,0,30-Apr-22,30-04-2022,30-04-2022,701,279721,-446020,279721
6,1001600108,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"-17,700.00",16-Jun-22,31-08-2022,16-06-2022,654,-17700,-463720,-17700
7,1004201143,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"1,69,360.00",30-Jul-22,31-07-2023,30-07-2022,610,169360,-294360,169360
8,1001600107,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"-3,68,648.00",12-Aug-22,31-08-2022,12-08-2022,597,-368648,-663008,-368648
9,1004201141,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"-3,68,648.00",12-Aug-22,31-07-2023,12-08-2022,597,-368648,-1031656,-368648
10,1004201144,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"3,19,532.00",26-Aug-22,31-07-2023,26-08-2022,583,319532,-712124,319532
11,1004201145,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"3,68,648.00",10-Sep-22,31-07-2023,10-09-2022,568,368648,-343476,368648
12,1001700558,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,0,10-Sep-22,10-09-2022,10-09-2022,568,368648,25172,368648
13,1001700567,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,0,16-Sep-22,16-09-2022,16-09-2022,562,386048,411220,386048
14,1001600538,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"-3,68,648.00",07-Oct-22,25-03-2023,07-10-2022,541,-368648,42572,-368648
15,1004201140,108001,Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,"1,17,208.00",31-Mar-23,31-07-2023,31-03-2023,366,117208,159780,117208
16,1001700935,227001,Adv to Material Vendor,15100296,I PLATINA SYSTEMS,V151,MATERIAL VENDOR,0,06-Sep-23,06-09-2023,06-09-2023,207,28320,188100,28320
0,1001601214,108001,Material Vendor,15100298,J J BIOTEK,V151,MATERIAL VENDOR,"-78,652.00",31-Mar-23,31-03-2023,31-03-2023,366,-78652,-78652,-78652
0,1003304780,108001,Material Vendor,15100300,KDH BIOMEDICALS PVT LTD,V151,MATERIAL VENDOR,"-19,320.00",11-Mar-24,11-03-2024,11-03-2024,20,-19320,-19320,-19320
0,1003303462,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-30,240.00",27-Dec-23,28-12-2023,27-12-2023,95,-30240,-30240,-30240
1,1003303535,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-1,53,046.00",01-Jan-24,02-01-2024,01-01-2024,90,-153046,-183286,-153046
2,1003303737,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-40,120.00",02-Jan-24,02-01-2024,02-01-2024,89,-40120,-223406,-40120
3,1003303537,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-39,848.00",03-Jan-24,03-01-2024,03-01-2024,88,-39848,-263254,-39848
4,1003303551,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-10,528.00",04-Jan-24,05-01-2024,04-01-2024,87,-10528,-273782,-10528
5,1003303528,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-5,522.00",12-Jan-24,12-01-2024,12-01-2024,79,-5522,-279304,-5522
6,1003303529,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-2,218.00",12-Jan-24,12-01-2024,12-01-2024,79,-2218,-281522,-2218
7,1003303530,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-16,567.00",12-Jan-24,12-01-2024,12-01-2024,79,-16567,-298089,-16567
8,1003304332,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-1,58,958.00",01-Feb-24,01-02-2024,01-02-2024,59,-158958,-457047,-158958
9,1003304341,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-40,120.00",01-Feb-24,01-02-2024,01-02-2024,59,-40120,-497167,-40120
10,1003304211,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-3,976.00",05-Feb-24,05-02-2024,05-02-2024,55,-3976,-501143,-3976
11,1003304098,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-2,974.00",07-Feb-24,07-02-2024,07-02-2024,53,-2974,-504117,-2974
12,1003304445,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-39,872.00",19-Feb-24,19-02-2024,19-02-2024,41,-39872,-543989,-39872
13,1003304906,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-2,218.00",29-Feb-24,01-03-2024,29-02-2024,31,-2218,-546207,-2218
14,1003304889,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-1,32,962.00",01-Mar-24,01-03-2024,01-03-2024,30,-132962,-679169,-132962
15,1003304680,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-38,326.00",08-Mar-24,08-03-2024,08-03-2024,23,-38326,-717495,-38326
16,1003304681,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-16,048.00",08-Mar-24,08-03-2024,08-03-2024,23,-16048,-733543,-16048
17,1003304783,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-2,714.00",11-Mar-24,11-03-2024,11-03-2024,20,-2714,-736257,-2714
18,1003304823,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-10,856.00",16-Mar-24,16-03-2024,16-03-2024,15,-10856,-747113,-10856
19,1003304824,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-24,072.00",16-Mar-24,16-03-2024,16-03-2024,15,-24072,-771185,-24072
20,1003305009,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-5,499.00",19-Mar-24,19-03-2024,19-03-2024,12,-5499,-776684,-5499
21,1003305043,108001,Material Vendor,15100301,KOTHARI DISTRIBUTORS,V151,MATERIAL VENDOR,"-39,847.50",25-Mar-24,25-03-2024,25-03-2024,6,-39848,-816532,-39848
0,1004203243,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-5,841.80",11-Mar-22,31-03-2022,11-03-2022,751,-5842,-5842,-5842
1,1004201160,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-5,900.00",21-Mar-22,31-07-2023,21-03-2022,741,-5900,-11742,-5900
2,1003300129,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-5,841.00",10-May-22,10-05-2022,10-05-2022,691,-5841,-17583,-5841
3,1004201158,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-44,840.00",23-May-22,31-07-2023,23-05-2022,678,-44840,-62423,-44840
4,1003300588,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-33,240.60",14-Jul-22,31-07-2022,31-07-2022,626,-33241,-95664,-33241
5,1003300762,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-6,074.64",27-Jul-22,27-07-2022,27-07-2022,613,-6075,-101739,-6075
6,1003300620,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-19,540.80",02-Aug-22,03-08-2022,03-08-2022,607,-19541,-121280,-19541
7,1003300938,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-6,074.64",03-Sep-22,03-09-2022,03-09-2022,575,-6075,-127355,-6075
8,1004201157,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-44,840.00",03-Sep-22,31-07-2023,03-09-2022,575,-44840,-172195,-44840
9,1004201159,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-42,480.00",28-Oct-22,31-07-2023,28-10-2022,520,-42480,-214675,-42480
10,1003301318,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-27,399.60",31-Oct-22,31-10-2022,31-10-2022,517,-27400,-242075,-27400
11,1004201156,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-46,020.00",21-Jul-23,31-07-2023,21-07-2023,254,-46020,-288095,-46020
12,1003304040,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-2,920.00",30-Jan-24,01-02-2024,30-01-2024,61,-2920,-291015,-2920
13,1003304072,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-1,214.92",31-Jan-24,06-02-2024,31-01-2024,60,-1215,-292230,-1215
14,1003304288,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-2,920.50",12-Feb-24,12-02-2024,12-02-2024,48,-2921,-295151,-2921
15,1003304448,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-1,214.92",19-Feb-24,19-02-2024,19-02-2024,41,-1215,-296366,-1215
16,1003304449,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-1,214.92",19-Feb-24,19-02-2024,19-02-2024,41,-1215,-297581,-1215
17,1003304616,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-1,822.40",28-Feb-24,28-02-2024,28-02-2024,32,-1822,-299403,-1822
18,1003304617,108001,Material Vendor,15100302,LAB SYSTEMS,V151,MATERIAL VENDOR,"-16,620.30",28-Feb-24,28-02-2024,28-02-2024,32,-16620,-316023,-16620
0,1004201262,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-8,190.00",13-Jul-23,31-07-2023,13-07-2023,262,-8190,2741,0
1,1004201269,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-49,910.00",13-Jul-23,31-07-2023,13-07-2023,262,-49910,-47169,-47169
2,1004201272,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-24,570.00",25-Jul-23,31-07-2023,25-07-2023,250,-24570,-71739,-24570
3,1004201270,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-35,840.00",29-Jul-23,31-07-2023,29-07-2023,246,-35840,-107579,-35840
4,1003303073,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-21,240.00",09-Dec-23,09-12-2023,09-12-2023,113,-21240,-128819,-21240
5,1003303091,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-8,190.00",11-Dec-23,11-12-2023,11-12-2023,111,-8190,-137009,-8190
6,1003303329,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-17,920.00",14-Dec-23,21-12-2023,14-12-2023,108,-17920,-154929,-17920
7,1003303342,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-12,320.00",21-Dec-23,23-12-2023,21-12-2023,101,-12320,-167249,-12320
8,1003303571,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-13,566.00",02-Jan-24,02-01-2024,02-01-2024,89,-13566,-180815,-13566
9,1003303554,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-1,15,360.00",03-Jan-24,05-01-2024,03-01-2024,88,-115360,-296175,-115360
10,1003303565,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-14,742.00",03-Jan-24,08-01-2024,03-01-2024,88,-14742,-310917,-14742
11,1003303567,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-9,828.00",03-Jan-24,08-01-2024,03-01-2024,88,-9828,-320745,-9828
12,1003303721,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-19,068.00",03-Jan-24,09-01-2024,03-01-2024,88,-19068,-339813,-19068
13,1003303722,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-65,520.00",03-Jan-24,09-01-2024,03-01-2024,88,-65520,-405333,-65520
14,1003303723,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-19,068.00",03-Jan-24,09-01-2024,03-01-2024,88,-19068,-424401,-19068
15,1003303919,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-9,828.00",03-Jan-24,23-01-2024,03-01-2024,88,-9828,-434229,-9828
16,1003303716,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-16,380.00",06-Jan-24,09-01-2024,06-01-2024,85,-16380,-450609,-16380
17,1003303718,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-5,068.00",08-Jan-24,09-01-2024,08-01-2024,83,-5068,-455677,-5068
18,1003303512,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-18,018.00",09-Jan-24,13-01-2024,09-01-2024,82,-18018,-473695,-18018
19,1003303824,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-11,466.00",09-Jan-24,16-01-2024,09-01-2024,82,-11466,-485161,-11466
20,1003303838,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-8,190.00",09-Jan-24,17-01-2024,09-01-2024,82,-8190,-493351,-8190
21,1003303916,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-4,480.00",17-Jan-24,23-01-2024,17-01-2024,74,-4480,-497831,-4480
22,1003304266,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-11,466.00",29-Jan-24,10-02-2024,29-01-2024,62,-11466,-509297,-11466
23,1003304146,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-70,336.00",02-Feb-24,07-02-2024,02-02-2024,58,-70336,-579633,-70336
24,1003304150,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-19,964.00",02-Feb-24,07-02-2024,02-02-2024,58,-19964,-599597,-19964
25,1003304151,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-19,656.00",02-Feb-24,07-02-2024,02-02-2024,58,-19656,-619253,-19656
26,1003304263,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-13,412.00",02-Feb-24,10-02-2024,02-02-2024,58,-13412,-632665,-13412
27,1003304264,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-24,570.00",02-Feb-24,10-02-2024,02-02-2024,58,-24570,-657235,-24570
28,1003304267,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-36,036.00",02-Feb-24,10-02-2024,02-02-2024,58,-36036,-693271,-36036
29,1003304340,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-19,068.00",02-Feb-24,07-02-2024,02-02-2024,58,-19068,-712339,-19068
30,1003304265,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-13,104.00",05-Feb-24,10-02-2024,05-02-2024,55,-13104,-725443,-13104
31,1003304181,108001,Material Vendor,15100305,MAXX HEALTHCARE,V151,MATERIAL VENDOR,"-87,360.00",08-Feb-24,09-02-2024,08-02-2024,52,-87360,-812803,-87360
